TimePeriod,GeoType,GeoID,GeoRank,Geography,"Estimated annual rate per 10,000",Number
2020,CD,302,6,Fort Greene and Brooklyn Heights (CD2),9.0,11
2020,CD,303,6,Bedford Stuyvesant (CD3),9.8,24
2020,CD,304,6,Bushwick (CD4),5.3*,10*
2020,CD,305,6,East New York and Starrett City (CD5),24.1,81
2020,CD,306,6,Park Slope and Carroll Gardens (CD6),3.1*,4*
2020,CD,307,6,Sunset Park (CD7),3.6*,7*
2020,CD,308,6,Crown Heights and Prospect Heights (CD8),11.8,15
2020,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),8.3,12
2020,CD,310,6,Bay Ridge and Dyker Heights (CD10),2.4*,5*
2020,CD,311,6,Bensonhurst (CD11),1.3*,4*
2020,CD,312,6,Borough Park (CD12),1.4*,7*
2020,CD,313,6,Coney Island (CD13),11.6,17
2020,CD,314,6,Flatbush and Midwood (CD14),4.4,13
2020,CD,315,6,Sheepshead Bay (CD15),0.7*,2*
2020,CD,316,6,Brownsville (CD16),26.2,42
2020,CD,317,6,East Flatbush (CD17),19.2,41
2020,CD,318,6,Flatlands and Canarsie (CD18),5.5,18
2020,CD,401,6,Long Island City and Astoria (CD1),3.1*,7*
2020,CD,402,6,Woodside and Sunnyside (CD2),1.1*,2*
2020,CD,403,6,Jackson Heights (CD3),3.3*,9*
2020,CD,404,6,Elmhurst and Corona (CD4),4.0,11
2020,CD,405,6,Ridgewood and Maspeth (CD5),3.0*,8*
2020,CD,406,6,Rego Park and Forest Hills (CD6),4.0*,5*
2020,CD,407,6,Flushing and Whitestone (CD7),1.2*,4*
2020,CD,408,6,Hillcrest and Fresh Meadows (CD8),2.7*,6*
2020,CD,409,6,Kew Gardens and Woodhaven (CD9),3.2*,8*
2020,CD,410,6,South Ozone Park and Howard Beach (CD10),7.8,16
2020,CD,411,6,Bayside and Little Neck (CD11),1.7*,3*
2020,CD,412,6,Jamaica and Hollis (CD12),7.4,27
2020,CD,413,6,Queens Village (CD13),5.4,15
2020,CD,414,6,Rockaway and Broad Channel (CD14),6.2,13
2020,CD,501,6,St. George and Stapleton (CD1),7.6,25
2020,CD,502,6,South Beach and Willowbrook (CD2),3.3*,7*
2020,CD,503,6,Tottenville and Great Kills (CD3),0.4*,1*
2020,UHF42,101,4,Kingsbridge - Riverdale,8.8,11
2020,UHF42,102,4,Northeast Bronx,13.2,44
2020,UHF42,103,4,Fordham - Bronx Pk,16.9,84
2020,UHF42,104,4,Pelham - Throgs Neck,11.8,62
2020,UHF42,105,4,Crotona - Tremont,13.8,60
2020,UHF42,106,4,High Bridge - Morrisania,19.1,82
2020,UHF42,107,4,Hunts Point - Mott Haven,22.2,63
2020,UHF42,201,4,Greenpoint,2.7*,6*
2020,UHF42,202,4,Downtown - Heights - Slope,5.5,17
2020,UHF42,203,4,Bedford Stuyvesant - Crown Heights,16.6,85
2020,UHF42,204,4,East New York,21.8,82
2020,UHF42,205,4,Sunset Park,4.8*,9*
2020,UHF42,206,4,Borough Park,1.5,11
2020,UHF42,207,4,East Flatbush - Flatbush,10.5,47
2020,UHF42,208,4,Canarsie - Flatlands,5.4,18
2020,UHF42,209,4,Bensonhurst - Bay Ridge,1.9*,6*
2020,UHF42,210,4,Coney Island - Sheepshead Bay,4.2,19
2020,UHF42,211,4,Williamsburg - Bushwick,5.8,23
2020,UHF42,301,4,Washington Heights,10.0,34
2020,UHF42,302,4,Central Harlem - Morningside Heights,19.3,49
2020,UHF42,303,4,East Harlem,20.8,35
2020,UHF42,304,4,Upper West Side,3.1*,7*
2020,UHF42,305,4,Upper East Side,0.9*,2*
2020,UHF42,306,4,Chelsea - Clinton,7.2*,6*
2020,UHF42,307,4,Gramercy Park - Murray Hill,7.4*,5*
2020,UHF42,308,4,Greenwich Village - SoHo,1.6*,1*
2020,UHF42,309,4,Union Square - Lower East Side,3.1*,5*
2020,UHF42,310,4,Lower Manhattan,2.1*,1*
2020,UHF42,401,4,Long Island City - Astoria,2.3*,5*
2020,UHF42,402,4,West Queens,3.8,25
2020,UHF42,403,4,Flushing - Clearview,1.3*,4*
2020,UHF42,404,4,Bayside - Little Neck,2.2*,3*
2020,UHF42,405,4,Ridgewood - Forest Hills,3.3,12
2020,UHF42,406,4,Fresh Meadows,3.3*,5*
2020,UHF42,407,4,Southwest Queens,5.0,24
2020,UHF42,408,4,Jamaica,5.9,29
2020,UHF42,409,4,Southeast Queens,4.5,14
2020,UHF42,410,4,Rockaways,5.3,13
2020,UHF42,501,4,Port Richmond,8.5,12
2020,UHF42,502,4,Stapleton - St. George,7.6,15
2020,UHF42,503,4,Willowbrook,2.1*,3*
2020,UHF42,504,4,South Beach - Tottenville,0.9*,3*
2020,Borough,1,1,Bronx,15.9,415
2020,Borough,2,1,Brooklyn,7.6,325
2020,Borough,3,1,Manhattan,9.0,148
2020,Borough,4,1,Queens,4.0,135
2020,Borough,5,1,Staten Island,4.1,33
2020,Citywide,1,0,New York City,8.3,"1,056"
2019,CD,101,6,Financial District (CD1),2.0*,1*
2019,CD,102,6,Greenwich Village and Soho (CD2),1.8*,1*
2019,CD,103,6,Lower East Side and Chinatown (CD3),12.8,21
2019,CD,104,6,Clinton and Chelsea (CD4),16.4,13
2019,CD,105,6,Midtown (CD5),11.9*,3*
2019,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),10.9*,8*
2019,CD,107,6,Upper West Side (CD7),7.0,15
2019,CD,108,6,Upper East Side (CD8),2.2*,5*
2019,CD,109,6,Morningside Heights and Hamilton Heights (CD9),16.1,21
2019,CD,110,6,Central Harlem (CD10),43.8,75
2019,CD,111,6,East Harlem (CD11),42.4,79
2019,CD,112,6,Washington Heights and Inwood (CD12),23.4,58
2019,CD,201,6,Mott Haven and Melrose (CD1),55.9,112
2019,CD,202,6,Hunts Point and Longwood (CD2),30.6,34
2019,CD,203,6,Morrisania and Crotona (CD3),44.5,86
2019,CD,204,6,Highbridge and Concourse (CD4),27.3,81
2019,CD,205,6,Fordham and University Heights (CD5),28.0,75
2019,CD,206,6,Belmont and East Tremont (CD6),34.1,62
2019,CD,207,6,Kingsbridge Heights and Bedford (CD7),36.8,98
2019,CD,208,6,Riverdale and Fieldston (CD8),29.5,42
2019,CD,209,6,Parkchester and Soundview (CD9),27.1,89
2019,CD,210,6,Throgs Neck and Co-op City (CD10),24.2,43
2019,CD,211,6,Morris Park and Bronxdale (CD11),19.7,37
2019,CD,212,6,Williamsbridge and Baychester (CD12),41.5,114
2019,CD,301,6,Greenpoint and Williamsburg (CD1),10.5,33
2019,CD,302,6,Fort Greene and Brooklyn Heights (CD2),19.3,23
2019,CD,303,6,Bedford Stuyvesant (CD3),25.9,63
2019,CD,304,6,Bushwick (CD4),16.8,31
2019,CD,305,6,East New York and Starrett City (CD5),43.0,143
2019,CD,306,6,Park Slope and Carroll Gardens (CD6),14.6,18
